Posição,Código INEP,Escola,Estado,Cidade,Dependência administrativa,Localização,Alunos,CH,CN,LC,MT,RD,Média
18140,25094459,EEEF DR OTAVIO NOVAIS,Paraíba,João Pessoa,Estadual,Urbana,28,449.71,430.63,486.18,460.33,437.86,452.94
18183,25063359,EEEFM DESEMBARGADOR ARTHUR VIRGINIO DE MOURA,Paraíba,Matinhas,Estadual,Urbana,30,449.9,421.2,453.85,430.22,507.33,452.5
18201,25115723,EEEFM FELIPE TIAGO GOMES,Paraíba,Picuí,Estadual,Urbana,54,458.53,447.21,469.49,460.83,425.19,452.25
18222,25081349,EEEFM ADAUTO CABRAL DE VASCONCELOS,Paraíba,Riachão do Bacamarte,Estadual,Urbana,27,427.01,431.3,463.49,446.65,491.85,452.06
18229,25066668,EEEF RODRIGUES DE CARVALHO,Paraíba,Araçagi,Estadual,Urbana,34,452.86,428.85,461.92,439.87,476.47,452
18248,25092111,EEEFM PROF JOAO DA CUNHA VINAGRE,Paraíba,Conde,Estadual,Urbana,83,449.41,428.77,460.2,449.4,471.08,451.77
18260,25088572,EEEFM FLAVIO RIBEIRO COUTINHO,Paraíba,Cruz do Espírito Santo,Estadual,Urbana,13,448.6,420.92,473.38,453.71,461.54,451.63
18342,25087878,EEIEFM GUILHERME DA SILVEIRA,Paraíba,Rio Tinto,Estadual,Urbana,10,444.08,427.04,450.6,475.58,456,450.66
18368,25152823,EEEFM EUCLIDES MOUZINHO SANTOS,Paraíba,Algodão de Jandaíra,Estadual,Urbana,13,450.21,417.61,455.26,425.6,503.08,450.35
18387,25127659,EEEFM PEDRO HENRIQUE DA SILVA,Paraíba,Cuité,Estadual,Rural,11,444.57,408.19,455.4,451.45,490.91,450.11
18390,25048350,EEEFM MALAQUIAS BATISTA FEITOSA,Paraíba,São Sebastião do Umbuzeiro,Estadual,Urbana,11,445.15,435.52,471.27,465.64,432.73,450.06
18399,25028103,EEEFM ENEAS LEITE,Paraíba,Santa Inês,Estadual,Urbana,12,464.38,426.51,474.55,437.41,446.67,449.9
18407,25115359,EEEF JOAO DE OLIVEIRA CHAVES,Paraíba,Monteiro,Estadual,Urbana,41,451.57,430.38,453.28,459.58,454.15,449.79
18440,25036017,ENE MONS SEBASTIAO RABELO,Paraíba,Manaíra,Estadual,Urbana,37,439.8,432.46,452.88,438.59,483.24,449.4
18457,25041185,ECI AGUITONIO DANTAS,Paraíba,Frei Martinho,Estadual,Urbana,19,452.83,429.66,474.39,452.51,436.84,449.24
18463,25113810,EEEF ISAURA FERNANDES DE SOUZA,Paraíba,Itapororoca,Estadual,Urbana,25,451.54,418.03,477.94,449.46,448.8,449.15
18472,25120751,ECI AURICELIA MARIA DA COSTA,Paraíba,Caaporã,Estadual,Urbana,78,443.97,423.91,470.49,453.83,453.08,449.05
18475,25089242,EEEFM JOCELYN VELLOSO BORGES,Paraíba,São José dos Ramos,Estadual,Urbana,19,439.88,437.69,476.28,452.18,438.95,449
18514,25083597,EEEF MAJOR JOSE BARBOSA,Paraíba,Aroeiras,Estadual,Urbana,18,426.67,400.02,465.91,449.81,500,448.48
18515,25018140,EEEFM CELSO MARIZ,Paraíba,Sousa,Estadual,Urbana,29,448.45,427.96,473.76,436.96,455.17,448.46
18536,25099116,ECITE PROF LUIS DE AZEVEDO SOARES,Paraíba,Santa Rita,Estadual,Urbana,46,444.96,424,456.96,444.01,471.3,448.25
18544,25019538,ECI DR SILVA MARIZ,Paraíba,Marizópolis,Estadual,Urbana,26,446.67,421.15,449.8,448.24,474.62,448.1
18577,25072277,ECI MONTE CARMELO,Paraíba,Campina Grande,Estadual,Urbana,28,443.86,416.78,464.13,451.88,461.43,447.62
18604,25094106,ECI LUZIA SIMOES BARTOLLINI,Paraíba,João Pessoa,Estadual,Urbana,15,443.47,419.21,487.69,432.49,453.33,447.24
18605,25027930,EEEFM MAESTRO JOSE SIQUEIRA,Paraíba,Conceição,Estadual,Urbana,95,449.2,426.59,466.79,470.01,423.58,447.23
18608,25087894,EEIEFM DR¦ JOSE LOPES RIBEIRO,Paraíba,Rio Tinto,Estadual,Urbana,14,452.01,440.32,458.21,444.09,441.43,447.21
18620,25064142,EEEF ALVARO MACHADO,Paraíba,Areia,Estadual,Urbana,11,460.12,402.45,461.77,449.17,461.82,447.07
18647,25100696,ESCOLA CIDADA INTEGRAL ESTADUAL DE ENSINO FUNDAMENTAL JOAO URSULO,Paraíba,Pedras de Fogo,Estadual,Urbana,18,423.03,415.37,451.51,432.47,511.11,446.7
18701,25027573,EEEF JOAO CAVALCANTI SULA,Paraíba,Boa Ventura,Estadual,Urbana,22,436.32,414.59,447.11,442.67,488.18,445.77
18729,25087304,EEEF AGROPECUARISTA JOSE WILSON DE ALBUQUERQUE MELO,Paraíba,Capim,Estadual,Urbana,24,458.05,419.54,475.99,462.99,410,445.31
18750,25091018,EEEF VERALDO LEITE,Paraíba,Bayeux,Estadual,Urbana,27,450.13,429.9,470.9,439.27,434.81,445
18753,25036300,EEEFN GAMA E MELO,Paraíba,Princesa Isabel,Estadual,Urbana,28,447.25,419.12,469.48,462.37,426.43,444.93
18774,25025830,EEEIFM ANTONIO AVELINO DE ALMEIDA,Paraíba,Olho D`Água,Estadual,Urbana,34,427.13,430.62,458.74,438.35,468.24,444.62
18812,25023187,EEEFM MARIA DE LOURDES MEIRA,Paraíba,São José do Bonfim,Estadual,Urbana,24,435.19,429.74,457.63,448.06,448.33,443.79
18871,25001302,EEEFM OLIVIA SARAIVA MAIA,Paraíba,São José do Brejo do Cruz,Estadual,Urbana,19,426.05,431.85,459.1,445.99,450.53,442.7
18887,25101099,ECITE DURVAL GUEDES,Paraíba,Pitimbu,Estadual,Rural,24,420.14,399.96,463.03,435.22,493.33,442.34
18984,25094629,EEEF PROF¬ MARIA GENY DE SOUSA TIMOTEO,Paraíba,João Pessoa,Estadual,Urbana,33,444.91,430.71,477.36,443.67,403.64,440.06
19050,25032518,EEEFM OTAVIANO L DA SILVA,Paraíba,São José de Caiana,Estadual,Urbana,28,427.44,413.86,434.03,433.99,482.14,438.29
19053,25037137,EEEFM DEP NOMINANDO MUNIZ DINIZ,Paraíba,São José de Princesa,Estadual,Urbana,12,446.9,423.61,464.79,460.9,395,438.24
19076,25100459,ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL E MEDIO ALBERTO LUNDGREN,Paraíba,Caaporã,Estadual,Urbana,26,448.29,415.11,459.95,471.47,393.08,437.58
19111,25032968,EEEFM PROF JOSEFA JUSTINO GOMES,Paraíba,Serra Grande,Estadual,Urbana,14,426.11,398,441.01,459.41,458.57,436.62
19147,25000659,EEEF ANTONIO GOMES,Paraíba,Brejo do Cruz,Estadual,Urbana,15,455.14,435.92,439.58,449.64,398.67,435.79
19195,25117688,ECI IRMA STEFANIE,Paraíba,Campina Grande,Estadual,Urbana,15,442.96,435.79,457.45,408.27,428,434.49
19218,25020650,EEEF CAIC DR ROMERO ABDON Q DA NOBREGA,Paraíba,Patos,Estadual,Urbana,21,459.61,420.28,470.58,441.62,376.19,433.66
19222,25018183,EEEFM ESTEVAM MARINHO,Paraíba,Sousa,Estadual,Rural,18,429.56,406.67,451.16,461.05,417.78,433.24
19292,25091638,ECI IMACULADA CONCEICAO,Paraíba,Cabedelo,Estadual,Urbana,16,446.06,409.91,440.27,427.52,427.5,430.25
19303,25003410,EEEFM DANIEL CARNEIRO,Paraíba,Riacho dos Cavalos,Estadual,Urbana,39,434.62,419.07,457.61,461.6,376.92,429.96
19319,25065513,ECI EFIGENIO LEITE,Paraíba,Borborema,Estadual,Urbana,27,428.6,414.78,431.7,437,433.33,429.08
19351,25030698,EEEF SIMEAO LEAL,Paraíba,Itaporanga,Estadual,Urbana,15,427.67,419.03,448.19,431.17,412,427.61
19482,25045555,EEEF MIGUEL SANTA CRUZ,Paraíba,Monteiro,Estadual,Urbana,22,435.26,413.64,463.58,430.45,349.09,418.41
19520,25094696,ECI PADRE IBIAPINA,Paraíba,João Pessoa,Estadual,Urbana,28,443.92,418.52,439.52,440.69,328.57,414.25
19533,25088068,EEIEFM INDIO ANTONIO SINESIO DA SILVA,Paraíba,Marcação,Estadual,Rural,11,416.55,414.59,433.27,423.67,376.36,412.89
19571,25093860,ECI RAUL MACHADO,Paraíba,João Pessoa,Estadual,Urbana,13,447.77,407.73,464.98,431.12,263.08,402.93
